triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
NHKG_16_01_R_196_PET0424_ARG0295,PET0424,0.0,5.025931474054176,0.9438673924541118,0.056132607545888114,0.0008971610582590675,0.001182352192228739,-7812.890089142824,-7823.175208427996,682
NHKG_16_01_R_196_PET0424_ARG0295,ARG0295,0.0,3.8895856374691817,0.9359494752444302,0.06405052475556984,0.0015971370420942996,0.0021085372934663,-14934.774304568098,-15003.118326145584,1454
NHKG_16_01_R_196_PET0495_PAR_posas_01,NHKG_16_01_R_196,0.0,3.7498417563285344,0.947425318239377,0.05257468176062304,0.0013189927259337569,0.0016943892396768401,-11923.371484199703,-11980.588863770694,1114
NHKG_16_01_R_196_PET0495_PAR_posas_01,PET0495,0.0,4.237261166461019,0.9221146422424481,0.07788535775755194,0.001000893226400331,0.0013792512016713092,-7983.855998277908,-8015.227602062414,718
NHKG_16_01_R_196_PET0495_PAR_posas_01,PAR_posas_01,0.0,3.375063484554404,0.8848126379673692,0.11518736203263066,0.0014441325392264435,0.002078596844397163,-14486.458090432245,-14589.24407861474,1410
NHKG_16_01_R_196_PET0495_ARG0295,NHKG_16_01_R_196,0.0,6.495529482393191,0.9761457200436543,0.02385427995634585,0.0014745218270445274,0.001718687572868217,-12465.039350921023,-12453.246170457653,1161
NHKG_16_01_R_196_PET0495_ARG0295,PET0495,0.0,4.5742061095552735,0.9413457117176207,0.05865428828237926,0.0009121189338811065,0.001202072517754173,-7516.0569022902655,-7537.356570425764,659
NHKG_16_01_R_196_PET0495_ARG0295,ARG0295,0.0,4.135150887237283,0.9442794246976209,0.05572057530237911,0.0015970149288584,0.00207336607721519,-14664.549206608526,-14720.627013421892,1422
NHKG_16_01_R_196_PAR_posas_01_ARG0295,NHKG_16_01_R_196,0.0,4.1255308358431195,0.9667755965549604,0.033224403445039546,0.001490804515764351,0.0018239048962637363,-14431.486556480162,-14480.27828417743,1365
NHKG_16_01_R_196_PAR_posas_01_ARG0295,PAR_posas_01,0.0,4.798823107258914,0.9515799403216489,0.048420059678351016,0.0012053553279032997,0.001545348703804348,-10041.760319878138,-10062.586106681452,920
NHKG_16_01_R_196_PAR_posas_01_ARG0295,ARG0295,0.0,5.513701650597604,0.9676598172453137,0.032340182754686184,0.0014052164028788602,0.001710932489341693,-10266.409306471733,-10272.688040209863,957
GO8_GB179_ANN1283_PET0662,GO8_GB179,0.0,5.597276069077253,0.9812701504090429,0.01872984959095734,0.0013311094732599595,0.00152642476915777,-9229.335669327193,-9240.681406006936,843
GO8_GB179_ANN1283_PET0662,ANN1283,0.0,3.4727969289346294,0.9458484376194319,0.054151562380568015,0.0016940639261060408,0.002156118035107034,-16713.355322642587,-16798.588630063612,1635
GO8_GB179_ANN1283_PET0662,PET0662,0.0,5.3097558384161045,0.967211790115562,0.032788209884437904,0.0009847765432392805,0.0011972089052356021,-8736.175208116778,-8745.382293273635,764
GO8_GB179_ANN1283_DEB_1135,GO8_GB179,0.0,4.611671730363515,0.9574459784187436,0.04255402158125639,0.0013117455781101665,0.0016511003477045908,-10798.81074267507,-10827.3421719358,1002
GO8_GB179_ANN1283_DEB_1135,ANN1283,0.0,3.455816836023897,0.8675481338697707,0.13245186613022922,0.001254079774953105,0.001866997098878205,-13088.87356164915,-13180.29692737443,1248
GO8_GB179_ANN1283_DEB_1135,DEB_1135,0.0,3.651225382757914,0.893850599048403,0.1061494009515969,0.0010726177076041832,0.0015351475664314516,-10799.226194149078,-10863.691752764556,992
GO8_GB179_ANN1283_PET0424,GO8_GB179,0.0,4.248118886642234,0.9625303559265609,0.03746964407343908,0.0014275632254711738,0.0017683923352884614,-11057.244555034928,-11095.4366390008,1040
GO8_GB179_ANN1283_PET0424,ANN1283,0.0,3.244455159345912,0.8630579686842759,0.13694203131572408,0.001463551433688882,0.002159936532093023,-15343.0225152132,-15457.089539257015,1505
GO8_GB179_ANN1283_PET0424,PET0424,0.0,5.94179685274389,0.95680117771954,0.04319882228046004,0.0009275695781243097,0.0011791454327116212,-8011.891189410486,-7999.146860126993,697
GO8_GB179_ANN1283_PET0495,GO8_GB179,0.0,4.2134041383680865,0.9557283840024449,0.04427161599755505,0.0014247418008957134,0.0017981875330868762,-11466.46260795574,-11507.605600186651,1082
GO8_GB179_ANN1283_PET0495,ANN1283,0.0,3.2145081148400743,0.8861147985307837,0.11388520146921628,0.0014900185748133639,0.002108507138209159,-14989.691568220702,-15096.065696265377,1463
GO8_GB179_ANN1283_PET0495,PET0495,0.0,5.693111042173667,0.9573016113809473,0.04269838861905277,0.0009139545955550811,0.0011565665451936872,-8030.037376334261,-8026.098770267551,697
GO8_GB179_ANN1283_PAR_posas_01,GO8_GB179,0.0,3.07375560387785,0.8869618010107544,0.11303819898924554,0.0013412354563254445,0.0018890052654492331,-14322.58657660304,-14426.706188697815,1369
GO8_GB179_ANN1283_PAR_posas_01,ANN1283,0.0,4.029615507044531,0.9430814157544153,0.056918584245584755,0.0012927630417574804,0.0016860386333683107,-10211.972936450182,-10257.662286482004,953
GO8_GB179_ANN1283_PAR_posas_01,PAR_posas_01,0.0,5.9876847883568765,0.9638686754574325,0.03613132454256759,0.0012495013121846526,0.001546372982173913,-10073.157194348529,-10061.366933379073,920
GO8_GB179_ANN1283_ARG0295,GO8_GB179,0.0,2.9920432872269487,0.831264647692273,0.168735352307727,0.0017244580056801288,0.0026049011592521576,-20480.013459443297,-20645.261199291814,2086
GO8_GB179_ANN1283_ARG0295,ANN1283,0.0,5.344346917168689,0.9604799628001679,0.03952003719983207,0.001100772478130336,0.0013714773863799283,-6227.2146462402325,-6234.198918370932,558
GO8_GB179_ANN1283_ARG0295,ARG0295,0.0,6.6262363886222895,0.9738229805878262,0.026177019412173645,0.001165350818642544,0.0013860104295986622,-6676.81559800921,-6668.872129768664,598
GO8_GB179_PET0662_DEB_1135,GO8_GB179,0.0,4.537272843215315,0.9566865289298782,0.04331347107012174,0.0012795042089393045,0.0016096142512588118,-10750.295035960955,-10780.576067566924,993
GO8_GB179_PET0662_DEB_1135,PET0662,0.0,3.800656916530041,0.9269848715872756,0.07301512841272444,0.0009653147023198302,0.0012994104818757923,-8855.584393935715,-8902.472001189988,789
GO8_GB179_PET0662_DEB_1135,DEB_1135,0.0,3.668137229782485,0.930209342327342,0.06979065767265805,0.0014507142635761076,0.0019374481236301368,-15230.182252798446,-15312.153838513032,1460
GO8_GB179_PET0662_PET0424,GO8_GB179,0.0,4.210558194987859,0.9431462296359844,0.05685377036401563,0.0015151613407443701,0.0019797711133819947,-12828.51806527158,-12877.175577777542,1233
GO8_GB179_PET0662_PET0424,PET0662,0.0,3.7072791739319335,0.9246973561858369,0.07530264381416313,0.0011642460137206937,0.0015791709313829785,-10181.621018568429,-10240.762077795589,940
GO8_GB179_PET0662_PET0424,PET0424,0.0,4.564808480553169,0.9782708763826227,0.021729123617377468,0.0013344525900595553,0.0015586210898971002,-11644.082085472975,-11674.958671381788,1069
GO8_GB179_PET0662_PET0495,GO8_GB179,0.0,4.258217531965873,0.9589389172753499,0.04106108272465,0.0014996321705180507,0.0018747466300978795,-12894.323614774023,-12937.687361699831,1226
GO8_GB179_PET0662_PET0495,PET0662,0.0,3.483644119944316,0.9191500386910689,0.08084996130893111,0.001105463091925003,0.0015047145449838188,-10125.77108341437,-10188.59598398868,927
GO8_GB179_PET0662_PET0495,PET0495,0.0,3.8745345341380766,0.9670406036747178,0.032959396325282275,0.001299480222885677,0.0015857086370982551,-11809.479387803443,-11855.97159968966,1089
GO8_GB179_PET0662_PAR_posas_01,GO8_GB179,0.0,3.5254367730381633,0.9178162240012007,0.08218377599879928,0.0011029260345092307,0.0015166101593821512,-9529.435427265686,-9591.980152068949,874
GO8_GB179_PET0662_PAR_posas_01,PET0662,0.0,4.907926628517077,0.9737693947152094,0.026230605284790508,0.001170530253370109,0.0013878447887626265,-8813.641037723695,-8832.050581552534,792
GO8_GB179_PET0662_PAR_posas_01,PAR_posas_01,0.0,3.518383070375789,0.94185152707851,0.0581484729214901,0.00172655730728922,0.002237072831535533,-15992.228554320152,-16075.991702671648,1576
GO8_GB179_PET0662_ARG0295,GO8_GB179,0.0,5.793651296793459,0.9734344972507334,0.026565502749266584,0.001224188277248479,0.0014542658134523811,-9285.803717262654,-9289.133488250565,840
GO8_GB179_PET0662_ARG0295,PET0662,0.0,5.862804030007162,0.9561629239813639,0.04383707601863602,0.0009651917360766853,0.0012309563228304406,-8544.945617135572,-8531.927203374862,749
GO8_GB179_PET0662_ARG0295,ARG0295,0.0,4.1290180889717805,0.9638366212213834,0.03616337877861652,0.0017626103454083805,0.002175512114277072,-16895.01381224773,-16953.993518170846,1653
GO8_GB179_DEB_1135_PET0424,GO8_GB179,0.0,3.7510868760375202,0.9312851057505454,0.06871489424945489,0.0015673849191706088,0.0020865946995594713,-14010.477173568608,-14081.91567028259,1362
GO8_GB179_DEB_1135_PET0424,DEB_1135,0.0,3.7795481151186046,0.9192941582134879,0.08070584178651212,0.0013839564521156667,0.001894426260603654,-13189.505400864815,-13259.79916134461,1259
GO8_GB179_DEB_1135_PET0424,PET0424,0.0,3.247011047384095,0.827713088317331,0.17228691168266913,0.0007874811519535716,0.0012292891165861515,-7019.323626075767,-7074.607153413427,621
GO8_GB179_DEB_1135_PET0495,GO8_GB179,0.0,4.3459306219974145,0.9378039572888878,0.062196042711112336,0.0016410593312053666,0.002177539300550964,-14839.297639158058,-14888.960964696696,1452
GO8_GB179_DEB_1135_PET0495,DEB_1135,0.0,3.467932382392582,0.8936530766571875,0.1063469233428125,0.0012861554114047542,0.0018346444655778897,-12566.230057229694,-12651.475044034072,1194
GO8_GB179_DEB_1135_PET0495,PET0495,0.0,3.585635065734606,0.8868357056234615,0.11316429437653838,0.0008327199910926459,0.0012065309130872483,-6766.44931395671,-6811.856972253517,596
GO8_GB179_DEB_1135_PAR_posas_01,GO8_GB179,0.0,4.031547302014081,0.9278617762230404,0.07213822377695957,0.0011476859015615338,0.0015514070202392823,-10914.385255966728,-10963.08681687755,1003
GO8_GB179_DEB_1135_PAR_posas_01,DEB_1135,0.0,3.9543973093955493,0.9119481676160975,0.0880518323839025,0.0011972345289511816,0.0016717612184494603,-10932.916960859262,-10985.795944152627,1019
GO8_GB179_DEB_1135_PAR_posas_01,PAR_posas_01,0.0,3.3693688056650277,0.8683825877770603,0.1316174122229397,0.0012897329590912182,0.0019069991812295081,-12740.293584478088,-12832.720885244347,1220
GO8_GB179_DEB_1135_ARG0295,GO8_GB179,0.0,4.5097799214678504,0.9581654011468052,0.041834598853194856,0.0013452011197090624,0.001689780575024108,-11124.957522303717,-11157.722692357738,1037
GO8_GB179_DEB_1135_ARG0295,DEB_1135,0.0,3.867887295503428,0.9203792785176619,0.07962072148233816,0.001096011769765964,0.0014977405786540485,-10409.582112689348,-10461.365497082543,951
