P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
H_agrestis	H_nuttalli	H_atrorubens	0.0105114	0.0685158	0.472688	0.00770552	24.0405	30.5571	29.9214
H_agrestis	H_occidentalis	H_atrorubens	0.0792601	0.905758	0.182532	0.0518494	57.2079	111.987	95.5381
H_atrorubens	H_agrestis	H_petiolaris	0.0840388	0.963892	0.16755	0.0299679	131.655	97.0619	82.0127
H_atrorubens	H_agrestis	H_porteri	0.0870099	0.875175	0.190739	0.0232031	147.73	72.0476	60.5135
H_atrorubens	H_agrestis	H_praecox	0.0534706	0.579357	0.281174	0.0212734	134.003	96.2577	86.4863
H_radula	H_atrorubens	H_agrestis	0.24568	2.1727	0.0149015	0.0417896	157.127	80.0631	48.4821
H_agrestis	H_salicifolius	H_atrorubens	0.043098	0.485224	0.313759	0.0259619	64.4829	97.6762	89.6048
H_atrorubens	H_silphioides	H_agrestis	0.0463901	0.381348	0.351473	0.00645714	194.964	50.6175	46.1294
H_agrestis	H_verticillatus	H_atrorubens	0.0433682	0.453931	0.324939	0.0247978	73.971	96.3718	88.3603
H_agrestis	H_cusickii	H_carnosus	0.0116542	0.106602	0.457552	0.00497404	68.2782	89.4929	87.431
H_agrestis	H_carnosus	H_debilis	0.047819	0.43703	0.331045	0.0146253	95.9595	75.3405	68.4639
H_carnosus	H_divaricatus	H_agrestis	0.00104703	0.00959553	0.496172	0.000250128	82.7143	70.5679	70.4202
H_agrestis	H_carnosus	H_exilis	0.10552	0.810085	0.208946	0.0225247	89.2738	64.7571	52.3952
H_carnosus	H_floridanus	H_agrestis	0.170887	1.73926	0.0409949	0.0329836	109.199	75.0083	53.1139
H_agrestis	H_carnosus	H_giganteus	0.0281426	0.273092	0.392391	0.0113987	97.8238	71.7111	67.7853
H_carnosus	H_agrestis	H_gracilentus	0.0518847	0.447653	0.327202	0.0163903	76.5929	64.1552	57.8262
H_agrestis	H_grosseserratus	H_carnosus	0.0194149	0.195438	0.422525	0.00897967	56.0464	91.5119	88.0262
H_carnosus	H_heterophyllus	H_agrestis	0.120471	1.07686	0.140771	0.0247568	113.314	75.0986	58.9496
H_carnosus	H_agrestis	H_laciniatus	0.045286	0.369771	0.355776	0.0112682	73.9452	55.2179	50.4333
H_longifolius	H_carnosus	H_agrestis	0.190865	1.56942	0.0582755	0.0248185	136.038	47.6155	32.3524
H_maximiliani	H_agrestis	H_carnosus	0.0378321	0.389785	0.348348	0.0167782	74.8435	96.9748	89.9048
H_agrestis	H_microcephalus	H_carnosus	0.00813238	0.0830801	0.466894	0.00357595	71.5986	91.203	89.7315
H_carnosus	H_mollis	H_agrestis	0.00299501	0.0303904	0.487878	0.000682995	96.0488	75.35	74.9
H_niveus	H_agrestis	H_carnosus	0.1853	1.74338	0.0406337	0.08082	50.925	113.104	77.7405
H_agrestis	H_carnosus	H_nuttalli	0.151128	0.814121	0.207788	0.0414519	31.9643	22.5333	16.6167
H_occidentalis	H_agrestis	H_carnosus	0.00487068	0.0453076	0.481931	0.00223778	47.3774	82.4012	81.6024
H_carnosus	H_agrestis	H_petiolaris	0.0137289	0.126886	0.449515	0.00532813	108.33	80.2413	78.0679
H_agrestis	H_carnosus	H_porteri	0.112753	0.93703	0.174372	0.0312574	107.96	67.8429	54.094
H_agrestis	H_carnosus	H_praecox	0.0357903	0.348002	0.363919	0.0149304	109.066	84.2721	78.4483
H_radula	H_carnosus	H_agrestis	0.243948	2.26755	0.0116782	0.0332458	168.107	56.6127	34.4083
H_agrestis	H_salicifolius	H_carnosus	0.0151777	0.137458	0.445334	0.00693945	55.5917	84.4833	81.9571
H_carnosus	H_silphioides	H_agrestis	0.13735	1.17053	0.120894	0.0224538	130.633	55.8206	42.3385
H_verticillatus	H_agrestis	H_carnosus	0.0455663	0.411694	0.340282	0.0197091	54.3018	79.5145	72.5839
H_debilis	H_cusickii	H_agrestis	0.0904774	0.938132	0.174088	0.0180353	148.627	98.0338	81.766
H_cusickii	H_divaricatus	H_agrestis	0.134419	1.44725	0.0739131	0.0289816	136.485	95.9245	73.1921
H_exilis	H_cusickii	H_agrestis	0.124474	1.18081	0.118839	0.0227759	119.207	75.3358	58.6571
H_cusickii	H_agrestis	H_floridanus	0.011907	0.139221	0.444638	0.00631771	79.5672	126.36	123.386
H_giganteus	H_cusickii	H_agrestis	0.103157	1.08354	0.139283	0.0207616	170.622	94.8793	77.1348
H_gracilentus	H_cusickii	H_agrestis	0.0910276	0.856918	0.195745	0.016644	137.904	81.7167	68.081
H_grosseserratus	H_cusickii	H_agrestis	0.08349	0.955852	0.169574	0.0147329	177.373	80.0953	67.7515
H_cusickii	H_heterophyllus	H_agrestis	0.0573013	0.640661	0.260872	0.0151388	95.0649	121.426	108.264
H_laciniatus	H_cusickii	H_agrestis	0.025372	0.242588	0.404162	0.00505959	116.527	72.0965	68.5286
H_longifolius	H_agrestis	H_cusickii	0.00221231	0.0235854	0.490592	0.0009523	100.968	86.5583	86.1762
H_maximiliani	H_cusickii	H_agrestis	0.0363674	0.4293	0.333853	0.00686661	214.987	88.9473	82.7048
H_microcephalus	H_cusickii	H_agrestis	0.0155059	0.184732	0.42672	0.00310294	169.268	90.5861	87.8198
H_agrestis	H_cusickii	H_mollis	0.127737	1.53468	0.0624309	0.0681555	69.3204	129.064	99.8267
H_agrestis	H_niveus	H_cusickii	0.119075	1.25961	0.103905	0.0627018	55.3861	143.287	112.795
H_cusickii	H_nuttalli	H_agrestis	0.0731569	0.437032	0.331044	0.0137575	48.3786	23.1995	20.0365
H_occidentalis	H_cusickii	H_agrestis	0.123364	1.2809	0.100114	0.0262248	118.791	92.6203	72.2777
H_petiolaris	H_cusickii	H_agrestis	0.13398	1.52399	0.0637557	0.0286001	155.922	109.6	83.7012
H_cusickii	H_agrestis	H_porteri	0.0199339	0.198103	0.421482	0.00514652	157.1	71.1325	68.3521
H_praecox	H_cusickii	H_agrestis	0.116511	1.227	0.109912	0.0235526	159.219	105.149	83.2041
H_cusickii	H_agrestis	H_radula	0.0221553	0.231662	0.4084	0.00898121	103.411	95.3569	91.2232
H_salicifolius	H_cusickii	H_agrestis	0.0813135	0.7321	0.232054	0.0139277	172.911	71.8419	61.037
H_agrestis	H_cusickii	H_silphioides	0.0348203	0.405303	0.342627	0.0154843	82.3308	113.063	105.454
H_verticillatus	H_cusickii	H_agrestis	0.0356224	0.326978	0.371842	0.00665753	166.227	76.0965	70.8615
H_agrestis	H_debilis	H_divaricatus	0.0421312	0.504988	0.306784	0.0210602	78.2296	128.027	117.675
H_debilis	H_exilis	H_agrestis	0.00597686	0.0511803	0.479591	0.000967716	146.936	57.57	56.8859
H_agrestis	H_floridanus	H_debilis	0.0789891	0.864349	0.193698	0.0249676	150.784	101.873	86.9571
H_debilis	H_giganteus	H_agrestis	0.0872158	1.06244	0.144019	0.0206421	134.155	107.888	90.5785
H_agrestis	H_debilis	H_gracilentus	0.0147971	0.148289	0.441057	0.00662109	97.3866	105.338	102.266
H_debilis	H_grosseserratus	H_agrestis	0.136648	1.66438	0.0480184	0.0273318	124.433	92.0198	69.8946
H_heterophyllus	H_agrestis	H_debilis	0.0544606	0.628041	0.264989	0.0179529	145.379	106.655	95.6383
H_debilis	H_laciniatus	H_agrestis	0.0265315	0.281806	0.389046	0.00587856	93.8979	78.4599	74.4042
H_longifolius	H_agrestis	H_debilis	0.060975	0.543528	0.293383	0.0195169	113.051	86.9248	76.9336
H_debilis	H_maximiliani	H_agrestis	0.0844265	1.22839	0.109651	0.0188226	157.109	107.983	91.1695
H_debilis	H_microcephalus	H_agrestis	0.0652483	0.899619	0.184162	0.0152547	127.583	109.61	96.1828
H_agrestis	H_mollis	H_debilis	0.0945775	0.940243	0.173547	0.0284886	128.758	95.1334	78.6933
H_niveus	H_debilis	H_agrestis	0.2121	2.3291	0.00992679	0.0316159	207.541	82.3981	53.5611
H_agrestis	H_debilis	H_nuttalli	0.0820054	0.600846	0.273971	0.0342283	24.8643	37.9667	32.2117
H_agrestis	H_debilis	H_occidentalis	0.00115231	0.0124313	0.495041	0.000514171	84.9964	98.8289	98.6014
H_petiolaris	H_debilis	H_agrestis	0.102655	1.25824	0.104152	0.014296	255.025	67.324	54.7886
H_agrestis	H_debilis	H_porteri	0.0673001	0.692507	0.24431	0.0191172	135.837	80.6292	70.4609
H_praecox	H_debilis	H_agrestis	0.0537652	0.715049	0.23729	0.00686087	344.338	60.4439	54.276
H_debilis	H_radula	H_agrestis	0.0457831	0.582953	0.279963	0.0116337	89.0974	107.148	97.7665
H_salicifolius	H_debilis	H_agrestis	0.0160139	0.157171	0.437555	0.00358124	113.374	84.4723	81.8094
H_debilis	H_agrestis	H_silphioides	0.0468591	0.499756	0.308623	0.0216556	81.5247	119.871	109.14
H_debilis	H_verticillatus	H_agrestis	0.0182256	0.1887	0.425164	0.00387708	123.471	82.597	79.6401
H_agrestis	H_exilis	H_divaricatus	0.0329067	0.306233	0.379714	0.0185977	53.0869	111.418	104.319
H_agrestis	H_divaricatus	H_floridanus	0.156848	1.78413	0.0372012	0.0859793	64.6032	123.859	90.273
H_giganteus	H_divaricatus	H_agrestis	0.261669	2.69065	0.00356562	0.0484879	167.28	86.7099	50.7429
H_agrestis	H_gracilentus	H_divaricatus	0.046007	0.443805	0.328592	0.0225103	75.5798	110.233	100.536
H_grosseserratus	H_divaricatus	H_agrestis	0.226607	2.21569	0.0133564	0.0397541	171.828	77.8333	49.075
H_agrestis	H_heterophyllus	H_divaricatus	0.00278313	0.0340015	0.486438	0.00115358	78.209	99.0702	98.5202
H_agrestis	H_laciniatus	H_divaricatus	0.0972249	0.903868	0.183033	0.0440581	47.6258	86.2619	70.9746
H_agrestis	H_divaricatus	H_longifolius	0.00779075	0.0731702	0.470835	0.00362103	74.1595	83.3893	82.1
H_maximiliani	H_divaricatus	H_agrestis	0.184079	1.95673	0.0251893	0.035601	201.196	89.2823	61.5224
H_microcephalus	H_divaricatus	H_agrestis	0.149826	1.68809	0.0456966	0.0261274	215.366	76.9998	56.9331
H_divaricatus	H_mollis	H_agrestis	0.0564054	0.692773	0.244226	0.0112671	139.823	75.1716	67.1442
H_niveus	H_agrestis	H_divaricatus	0.0358324	0.423567	0.335941	0.0193441	64.0619	131.496	122.398
H_agrestis	H_nuttalli	H_divaricatus	0.245044	1.64852	0.0496233	0.156182	14.8929	52.6357	31.9167
H_occidentalis	H_divaricatus	H_agrestis	0.201708	1.85061	0.032113	0.0384885	124.581	74.5631	49.5321
H_agrestis	H_petiolaris	H_divaricatus	0.0147315	0.161268	0.435941	0.00794474	84.4119	130.165	126.385
H_divaricatus	H_agrestis	H_porteri	0.0807229	0.748366	0.22712	0.0199534	146.581	61.1282	51.9964
H_agrestis	H_praecox	H_divaricatus	0.0453459	0.546049	0.292516	0.0238917	76.2742	136.11	124.302
H_agrestis	H_divaricatus	H_radula	0.00804821	0.0792133	0.468431	0.00342586	92.7075	78.456	77.2032
H_salicifolius	H_divaricatus	H_agrestis	0.167091	1.51221	0.0652403	0.0343898	158.19	80.4786	57.4345
H_divaricatus	H_silphioides	H_agrestis	0.0773852	0.732479	0.231938	0.0180956	111.312	81.9762	70.2
H_verticillatus	H_divaricatus	H_agrestis	0.117998	1.1347	0.128252	0.0225894	197.333	73.5567	58.0298
H_exilis	H_agrestis	H_floridanus	0.187033	1.81976	0.0343974	0.102207	60.9639	129.978	89.0187
H_exilis	H_giganteus	H_agrestis	0.0566174	0.509306	0.305269	0.0134426	114.286	84.1956	75.1726
H_exilis	H_gracilentus	H_agrestis	0.115357	1.03945	0.149297	0.0233733	118.347	74.273	58.9095
H_exilis	H_grosseserratus	H_agrestis	0.0721935	0.625209	0.265917	0.0146764	132.044	72.8262	63.019
H_agrestis	H_heterophyllus	H_exilis	0.012412	0.125459	0.45008	0.00291787	121.323	81.5915	79.5909
H_agrestis	H_exilis	H_laciniatus	0.117226	1.1086	0.133801	0.0427923	54.3246	90.7857	71.7341
H_longifolius	H_agrestis	H_exilis	0.00641326	0.0521059	0.479222	0.00136513	89.0702	63.8917	63.0774
H_exilis	H_maximiliani	H_agrestis	0.0795699	0.815722	0.20733	0.0152591	145.269	74.0671	63.1488
H_exilis	H_microcephalus	H_agrestis	0.112467	1.10581	0.134405	0.0238803	119.089	83.7206	66.7929
H_exilis	H_agrestis	H_mollis	0.0500517	0.583543	0.279764	0.0253781	55.2532	95.352	86.2619
H_niveus	H_exilis	H_agrestis	0.28046	2.37579	0.00875576	0.0403129	154.821	67.2417	37.7857
H_agrestis	H_exilis	H_nuttalli	0.164396	1.01362	0.155382	0.0760533	16.2857	37.0333	26.5762
H_agrestis	H_occidentalis	H_exilis	0.0178149	0.149148	0.440718	0.00432971	78.2857	71.45	68.9488
H_petiolaris	H_exilis	H_agrestis	0.117762	1.18895	0.117229	0.0197813	179.011	67.2948	53.1151
H_agrestis	H_exilis	H_porteri	0.104051	0.936752	0.174443	0.0314191	111.187	71.719	58.2008
